player_id,games_played,total_minutes,total_points,fg_att,fg_made,three_att,three_made,free_att,free_made,off_rebound,def_rebound,assists,steals,blocks,turnovers
250,80,34.9,23,18,8.7,5.5,2.3,3.7,3.4,0.8,2.9,3.6,0.9,0.5,2.2
251,75,35.9,27,19.8,8.8,7.7,2.9,7.3,6.5,0.6,4.3,5.9,0.9,0.3,2.6
252,46,17.2,4.3,3.1,1.6,0,0,1.8,1.1,2.1,3.2,0.6,0.3,0.5,0.8
253,65,25.5,9,8.5,3.6,1.8,0.5,1.6,1.3,0.6,3.2,3.2,0.8,0.4,1.5
254,35,7.1,2.2,2.5,0.7,1.5,0.4,0.5,0.4,0.2,0.5,0.3,0.3,0.1,0.3
255,20,29.2,15.2,11.8,6,0.1,0,4.9,3.2,3.3,7.1,3.2,1.3,1.9,3.1
256,54,28.1,11.1,8.2,4.4,0.1,0,4.1,2.4,2.2,5.8,4,0.9,1.2,1.6
257,77,28.9,10,8.1,4.1,2.5,0.9,1.6,1,1.6,2.8,1.1,1.1,0.9,1.1
258,74,16.5,5.4,5.1,2,2.9,1,0.5,0.5,0.4,2.8,1,0.2,0.4,0.5
259,74,17.1,4.4,3.6,1.8,0.3,0.1,1.3,0.8,1.8,3.5,0.4,0.4,0.4,0.9
260,39,8.1,2.5,1.8,0.9,0.8,0.4,0.2,0.2,0.3,1.1,0.7,0.2,0.1,0.4
261,53,9.7,4.1,3.5,1.4,1.7,0.6,0.9,0.7,0.2,1,1.3,0.6,0,0.8
262,16,5,1.9,1.8,0.8,0.8,0.3,0.2,0,0.3,0.6,0.7,0.1,0.2,0.7
263,42,15.5,6.7,5.9,2.4,1.8,0.6,1.9,1.4,0.4,2.5,0.7,0.4,0.1,0.8
264,73,17.6,4.6,4.5,2,1.1,0.3,0.5,0.4,0.6,1.5,2.3,0.2,0.1,1.2
265,66,18.6,6.2,5.5,2.3,2.3,0.7,1.1,0.9,0.5,1.5,1.7,0.3,0.2,1.2
266,50,23.7,9.5,8.3,4.1,0.2,0.1,2.2,1.3,1.8,4.3,1.1,0.9,0.8,1.2
267,49,31.5,16.9,12.4,5.9,4.8,1.9,4,3.2,0.5,2.9,4.2,1,0.2,1.7
268,73,34.5,21.9,15.8,7.5,5.1,2,5.9,5,0.7,4.7,3.5,1,0.3,1.9
269,51,8.5,2.9,2,1.1,0,0,0.9,0.7,1,1.4,0.1,0.3,0.6,0.3
270,82,24.1,7.1,5.5,2.5,3.4,1.5,0.8,0.6,0.3,2.9,2.7,1.2,0.1,1.3
271,78,23.6,9.2,8,3.5,3.3,1.4,1,0.8,0.4,2.7,1.8,0.5,0.2,0.9
272,12,4.4,1.8,1.3,0.8,0.3,0.1,0.5,0.3,0.3,1.1,0.2,0.1,0.2,0.2
